
Simulation Setting
========================================
input         : inputs/requests.csv
prefill batch : 1
decode batch  : 64
request_num   : 100
========================================

Requests
==========================================================================================================

 L_prefill | L_decode | Decode start  | Decode end    | Decode time(ms) | stall_total(ms) | stall_ratio(%)
        91 |       16 |       0.58403 |      0.611275 |            27.2 |            2.75 |          10.1
      1087 |      401 |       0.62695 |       1.34391 |             717 |            65.6 |          9.15
       382 |       64 |       0.64092 |      0.752348 |             111 |            10.4 |          9.33
       412 |      102 |      0.656879 |       0.83932 |             182 |            16.7 |          9.15
       194 |      217 |      0.665715 |       1.04623 |             381 |            34.2 |          8.98
       203 |      217 |      0.672743 |       1.05315 |             380 |            34.1 |          8.97
       200 |      217 |      0.681453 |       1.06155 |             380 |            33.8 |          8.88
        64 |      174 |      0.684792 |      0.989326 |             305 |            27.4 |          9.01
       458 |      123 |      0.702511 |      0.918753 |             216 |            19.7 |          9.12
      4073 |       58 |      0.737914 |      0.843065 |             105 |            9.21 |          8.76
      1352 |      158 |      0.754148 |       1.03084 |             277 |            24.5 |          8.86
       378 |       58 |      0.769717 |      0.874239 |             105 |             9.7 |          9.28
       874 |      404 |      0.771433 |       1.50241 |             731 |            66.8 |          9.14
        91 |       16 |      0.773158 |      0.801642 |            28.5 |            2.76 |          9.68
       389 |       89 |      0.788155 |      0.942036 |             154 |            14.6 |          9.48
       212 |      183 |       0.79767 |       1.11607 |             318 |            28.5 |          8.95
      1085 |      394 |       0.83932 |       1.55263 |             713 |              65 |          9.11
       407 |      131 |      0.855271 |       1.07908 |             224 |            19.8 |          8.85
       396 |       82 |      0.870692 |       1.00939 |             139 |            12.3 |          8.87
      1029 |      399 |      0.910553 |       1.64081 |             730 |            61.3 |           8.4
      4074 |       50 |      0.935436 |       1.02207 |            86.6 |            7.15 |          8.26
       203 |      217 |      0.943671 |       1.33623 |             393 |            35.9 |          9.13
       962 |      399 |      0.947066 |       1.67948 |             732 |              58 |          7.91
       181 |      253 |      0.955566 |       1.41564 |             460 |              42 |          9.13
       320 |       18 |      0.967651 |      0.998537 |            30.9 |            2.66 |           8.6
       898 |       94 |      0.978367 |       1.14334 |             165 |            14.4 |           8.7
       124 |      157 |      0.983777 |        1.2673 |             284 |              26 |          9.18
      1119 |      414 |       1.01113 |       1.76466 |             754 |            52.7 |          6.99
      1313 |      179 |        1.0343 |       1.36046 |             326 |            30.4 |          9.31
       400 |      102 |       1.05139 |       1.23544 |             184 |              17 |          9.25
      1096 |      383 |       1.05315 |       1.75328 |             700 |              49 |          6.99
       203 |      162 |       1.06155 |       1.35868 |             297 |            28.2 |           9.5
      1057 |      424 |       1.09116 |       1.85277 |             762 |            45.7 |             6
         2 |       93 |       1.09283 |       1.26343 |             171 |            15.9 |          9.31
      1314 |      216 |       1.11251 |       1.51381 |             401 |            37.2 |          9.28
       372 |       60 |       1.12834 |       1.23889 |             111 |            10.6 |          9.57
      1065 |      409 |        1.1339 |       1.86625 |             732 |            42.1 |          5.75
      1104 |      394 |        1.1782 |       1.87939 |             701 |            38.1 |          5.43
      1075 |      415 |       1.21993 |       1.94053 |             721 |            33.6 |          4.66
      4094 |       82 |       1.29287 |       1.44477 |             152 |            13.9 |          9.15
      1225 |      372 |       1.34004 |       1.96962 |             630 |              22 |          3.49
      1118 |      426 |        1.3837 |       2.07403 |             690 |            17.6 |          2.56
      4088 |       37 |        1.3837 |       1.45238 |            68.7 |            5.73 |          8.34
       380 |      102 |       1.39836 |       1.59138 |             193 |            16.2 |          8.41
        42 |      167 |       1.40206 |       1.71006 |             308 |            16.4 |          5.34
      1133 |      385 |       1.42927 |       2.05183 |             623 |            13.9 |          2.23
      1140 |      377 |       1.47253 |       2.07149 |             599 |            9.92 |          1.66
       126 |      203 |       1.47809 |       1.83281 |             355 |            9.21 |           2.6
       431 |       84 |       1.49474 |       1.65148 |             157 |            8.07 |          5.15
      2590 |       50 |       1.50435 |       1.59898 |            94.6 |            6.97 |          7.36
       206 |      179 |       1.51191 |       1.82343 |             312 |            6.65 |          2.13
       400 |       91 |       1.52693 |        1.6932 |             166 |            5.53 |          3.33
      1115 |      421 |       1.53871 |        2.1677 |             629 |            4.21 |          0.67
      1123 |      396 |       1.57201 |       2.15845 |             586 |            1.35 |         0.231
       862 |      379 |       1.57201 |       2.13811 |             566 |            1.35 |         0.239
       859 |      422 |       1.60451 |       2.20681 |             602 |               0 |             0
==========================================================================================================

Summary
=======================================================
E2E Latency                         :     2.21 s
stall_decode_collective_due_to_kv_s :      130 ms
stall_kv_due_to_decode_collective_s :       13 ms
stall_total_s                       :      143 ms
stall_ratio                         :     6.49 %
stall_ratio_p99                     :     10.1 %
=======================================================
